,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.6,9,632,1000,9783.36,27000,9887.917,1%,10000,15483.78,10000,198,300,36.44,100,22188,15480
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.06,9,800,1000,12702.56,27000,13147.6,3%,10000,15879.18,10000,238,300,37.81,100,19489.08,15878.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.87,3,8.06,9,800,1000,12057.76,27000,12444.09,3%,10000,15067.71,10000,228,300,36.53,100,19489.08,15072.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.06,9,800,1000,12380.16,27000,12780.53,3%,10000,15465.6,10000,233,300,37.5,100,19489.08,15475.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.27,9,632,1000,10296.4808,27000,10389.3,1%,10000,16299.19,10000,219,300,38.24,100,20517.87,16291.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.8,3,8.07,9,800,1000,11620.8,27000,12003.07,3%,10000,14520.78,10000,218,300,35.63,100,19537.47,14526
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.1,9,800,1000,12247.2,27000,12679.18,3%,10000,15306.17,10000,227,300,36.84,100,19683,15309
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.11,9,800,1000,12197.44,27000,12657.98,4%,10000,15242.1,10000,229,300,36.68,100,19731.63,15246.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.01,3,8.16,9,800,1000,13121.28,27000,13526.39,3%,10000,16398.18,10000,248,300,38.36,100,19975.68,16401.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.75,3,8.85,9,560,1000,8673,27000,8736.319,1%,10000,15493.97,10000,180,300,35.96,100,23496.75,15487.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.57,3,8.99,9,691,1000,9752.9813,27000,9824.046,1%,10000,14113.67,10000,169,300,33.92,100,24246.03,14114.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.79,3,8.63,9,633,1000,9778.3941,27000,9884.791,1%,10000,15442.33,10000,197,300,36.56,100,22343.07,15447.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.05,9,800,1000,12815.6,27000,13237.22,3%,10000,16022.09,10000,242,300,37.88,100,19440.75,16019.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.83,3,8.04,9,800,1000,11770.56,27000,12165.06,3%,10000,14706.98,10000,222,300,35.83,100,19392.48,14713.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.06,9,800,1000,12380.16,27000,12798.5,3%,10000,15469.06,10000,233,300,36.77,100,19489.08,15475.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.9,3,8.1,9,800,1000,12312,27000,12714.46,3%,10000,15393.42,10000,223,300,36.39,100,19683,15390
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.07,9,800,1000,12395.52,27000,12821.83,3%,10000,15485.18,10000,234,300,37.32,100,19537.47,15494.4
